"Iteration","Variable_Removed","CI_Value","PI_Value"
1,"waist_hip",1256.05122605448,0.132224290190957
2,"hba1c",1256.05122605448,0.879701321685392
3,"glucose_fasting",1256.05122605448,0.682818659463555
4,"diastolic_bp",1256.05122605448,0.956285934972284
5,"income",1256.05122605448,0.963005233711503
6,"systolic_bp",1256.05122605448,0.875894450854599
7,"hdl",1256.05122605448,0.555242862931793
8,"bmi",1256.05122605448,0.313950843887614
9,"ethnicity",1256.05122605448,0.867496503833799
10,"hr",1256.05122605448,0.861039686188316
11,"glucose_postprandial",1256.05122605448,0.954115428185711
12,"sleep",1256.05122605448,0.977024779256543
